host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,cluster
t,strict_14_with_grace_period,f,68,Downtown/Civic Center,37.78712,-12.240960000000001,Hostel,Private room,4,1,0,2,Real Bed,1,101,97.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0,1
f,moderate,f,1,Marina,37.79899,-12.243160000000001,Condominium,Entire home/apt,4,2,2,2,Real Bed,30,49,98.0,10.0,10.0,10.0,10.0,10.0,9.0,345.0,1
t,moderate,t,1,Bernal Heights,37.73704,-1.22417,Apartment,Entire home/apt,4,1,2,2,Real Bed,4,109,96.0,10.0,10.0,10.0,10.0,10.0,9.0,199.0,1
f,moderate,f,2,Bayview,37.73853,-0.0012239,House,Entire home/apt,4,1,2,2,Real Bed,31,59,97.0,10.0,10.0,9.0,10.0,10.0,10.0,445.0,1
t,moderate,f,1,Mission,37.763459999999995,-1.22425,Apartment,Private room,2,1,1,1,Real Bed,2,316,99.0,10.0,10.0,10.0,10.0,10.0,10.0,145.0,1
f,moderate,f,6,Western Addition,37.780359999999995,-12.242410000000001,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,30,97.0,10.0,9.0,10.0,10.0,10.0,9.0,100.0,1
t,moderate,f,1,Mission,37.76663,-12.24202,Apartment,Entire home/apt,4,1,2,2,Real Bed,30,127,98.0,10.0,10.0,10.0,10.0,10.0,9.0,395.0,1
f,moderate,f,1,Excelsior,37.73101,-12.242289999999999,Apartment,Entire home/apt,1,1,1,1,Real Bed,3,47,93.0,10.0,9.0,10.0,10.0,9.0,9.0,139.0,1
t,strict_14_with_grace_period,f,4,Twin Peaks,37.748459999999994,-12.244480000000001,Apartment,Entire home/apt,4,2,2,3,Real Bed,30,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,216.0,1
f,flexible,t,3,Inner Richmond,37.78455,-12.24752,Apartment,Entire home/apt,6,1,2,3,Real Bed,1,62,98.0,10.0,10.0,10.0,10.0,10.0,10.0,190.0,1
t,strict_14_with_grace_period,f,2,Western Addition,37.78629,-12.243310000000001,House,Entire home/apt,8,3,4,4,Real Bed,6,5,88.0,10.0,8.0,10.0,10.0,10.0,9.0,750.0,1
f,moderate,f,1,Potrero Hill,3.7757199999999997,-12.23926,Townhouse,Private room,2,1,1,1,Real Bed,2,111,97.0,10.0,10.0,10.0,10.0,10.0,10.0,115.0,1
f,strict_14_with_grace_period,f,2,Mission,37.75565,-12.242410000000001,Apartment,Entire home/apt,10,1,4,6,Real Bed,3,84,93.0,9.0,9.0,10.0,10.0,10.0,9.0,418.0,1
f,strict_14_with_grace_period,f,1,Western Addition,37.77333,-12.243219999999999,Apartment,Entire home/apt,5,1,2,2,Real Bed,3,72,92.0,10.0,9.0,10.0,10.0,10.0,9.0,285.0,1
f,strict_14_with_grace_period,f,4,South of Market,37.77814,-12.23977,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,30,7,100.0,10.0,10.0,10.0,10.0,10.0,9.0,220.0,1
f,strict_14_with_grace_period,f,2,Haight Ashbury,37.76913,-12.24456,House,Entire home/apt,8,1,4,6,Real Bed,6,40,99.0,10.0,10.0,10.0,10.0,10.0,10.0,375.0,1
f,moderate,f,1,Mission,3.77625,-12.24226,House,Entire home/apt,6,2,4,4,Real Bed,5,21,96.0,10.0,10.0,9.0,9.0,10.0,9.0,575.0,1
f,moderate,t,6,Mission,37.766020000000005,-12.24165,House,Private room,2,2,1,1,Real Bed,1,228,94.0,10.0,10.0,10.0,10.0,9.0,9.0,99.0,1
f,strict_14_with_grace_period,t,2,Castro/Upper Market,37.76243,-12.24308,Apartment,Entire home/apt,4,1,2,2,Real Bed,4,10,92.0,10.0,8.0,10.0,10.0,10.0,10.0,900.0,1
t,strict_14_with_grace_period,f,2,Bernal Heights,37.73728,-12.24157,Guest suite,Entire home/apt,2,1,1,1,Real Bed,2,169,92.0,10.0,9.0,10.0,10.0,9.0,9.0,110.0,1
f,strict_14_with_grace_period,f,1,Inner Sunset,37.758590000000005,-12.24682,Apartment,Entire home/apt,4,1,2,2,Real Bed,31,40,99.0,10.0,10.0,10.0,10.0,10.0,10.0,279.0,1
t,strict_14_with_grace_period,f,2,North Beach,37.79934,-12.24049,Apartment,Entire home/apt,3,1,1,2,Real Bed,30,93,88.0,9.0,9.0,9.0,9.0,10.0,8.0,118.0,1
f,strict_14_with_grace_period,f,2,South of Market,37.77562,-12.24169,House,Private room,1,1,1,1,Real Bed,30,40,93.0,9.0,9.0,10.0,10.0,9.0,9.0,62.0,1
t,strict_14_with_grace_period,t,1,Western Addition,37.78629,-12.24457,Apartment,Private room,3,1,1,2,Real Bed,3,267,98.0,10.0,9.0,10.0,10.0,10.0,9.0,145.0,1
f,moderate,t,4,Outer Richmond,37.773340000000005,-12.25009,House,Private room,2,1,1,1,Real Bed,3,164,95.0,9.0,9.0,10.0,10.0,9.0,9.0,89.0,1
f,moderate,f,3,Outer Mission,37.73227,-12.244819999999999,House,Private room,2,1,1,1,Real Bed,30,21,99.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0,1
t,strict_14_with_grace_period,f,1,Inner Richmond,37.78502,-12.24653,House,Entire home/apt,4,2,2,2,Real Bed,30,190,96.0,10.0,10.0,10.0,10.0,10.0,9.0,295.0,1
f,flexible,t,1,Western Addition,37.775490000000005,-0.0012243,Apartment,Entire home/apt,2,1,1,2,Real Bed,30,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0,1
f,strict_14_with_grace_period,f,5,Western Addition,37.78772,-12.24325,Apartment,Entire home/apt,3,1,1,2,Real Bed,30,6,90.0,9.0,10.0,10.0,9.0,9.0,9.0,120.0,1
f,strict_14_with_grace_period,f,1,Bayview,37.73254,-12.23884,House,Private room,2,1,1,1,Real Bed,30,23,87.0,9.0,9.0,10.0,10.0,8.0,9.0,85.0,1
f,moderate,f,8,Outer Mission,37.73263,-12.24414,Apartment,Private room,6,1,2,3,Real Bed,1,20,93.0,9.0,9.0,10.0,10.0,9.0,9.0,170.0,1
f,flexible,f,2,Castro/Upper Market,37.76312,-12.24315,Apartment,Entire home/apt,4,1,1,2,Real Bed,30,63,97.0,9.0,10.0,10.0,10.0,10.0,9.0,198.0,1
f,strict_14_with_grace_period,f,1,Bernal Heights,37.74273,-12.24083,House,Entire home/apt,5,2,2,2,Real Bed,3,27,98.0,10.0,10.0,10.0,10.0,9.0,10.0,199.0,1
t,flexible,f,1,Castro/Upper Market,37.76161,-12.24324,Condominium,Private room,2,1,1,1,Real Bed,1,304,97.0,10.0,10.0,10.0,10.0,10.0,10.0,99.0,1
f,moderate,t,1,Haight Ashbury,37.76918,-0.0012245,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,122,92.0,10.0,9.0,10.0,10.0,10.0,9.0,99.0,1
f,strict_14_with_grace_period,f,1,Outer Sunset,37.75966,-12.25085,Guest suite,Entire home/apt,5,1,2,2,Real Bed,2,120,95.0,10.0,10.0,10.0,10.0,10.0,9.0,295.0,1
f,flexible,t,2,Potrero Hill,37.75983,-12.23966,House,Private room,2,1,1,1,Real Bed,2,174,94.0,9.0,9.0,10.0,10.0,10.0,9.0,100.0,1
f,strict_14_with_grace_period,t,2,Marina,37.79999,-12.24443,Apartment,Entire home/apt,4,1,2,3,Real Bed,30,37,94.0,10.0,10.0,10.0,10.0,10.0,9.0,245.0,1
f,moderate,f,1,Bernal Heights,37.74086,-1.22413,Bungalow,Entire home/apt,4,1,2,2,Real Bed,7,14,99.0,10.0,9.0,10.0,10.0,10.0,10.0,160.0,1
t,moderate,f,6,Bernal Heights,37.73303,-12.24258,Hostel,Private room,1,2,1,1,Real Bed,30,10,100.0,10.0,9.0,10.0,10.0,10.0,10.0,59.0,1
t,strict_14_with_grace_period,t,3,Inner Richmond,37.78031,-1.22451,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,22,85.0,10.0,8.0,10.0,9.0,9.0,9.0,55.0,1
t,moderate,f,1,Outer Sunset,37.76283,-12.25075,House,Entire home/apt,4,1,2,2,Real Bed,30,103,94.0,10.0,9.0,9.0,10.0,9.0,9.0,130.0,1
t,moderate,f,1,Bernal Heights,37.74394,-12.24075,House,Entire home/apt,4,1,2,2,Real Bed,2,94,98.0,10.0,10.0,10.0,10.0,10.0,10.0,275.0,1
t,strict_14_with_grace_period,f,3,Haight Ashbury,37.76875,-12.24489,Apartment,Entire home/apt,8,1,3,4,Real Bed,30,59,98.0,10.0,10.0,10.0,10.0,10.0,9.0,290.0,1
f,strict_14_with_grace_period,t,2,Mission,37.75179,-12.24082,Loft,Private room,2,1,1,1,Real Bed,30,25,93.0,10.0,9.0,10.0,10.0,9.0,8.0,75.0,1
